Number of Counties,State,Average County Population Approximately
254,Texas,101081
159,Georgia,61731
134,Virginia,60422
120,Kentucky,36411
115,Missouri,52267
105,Kansas,27345
102,Illinois,126169
100,North Carolina,96564
99,Iowa,30932
95,Tennessee,67404
93,Nebraska,19813
92,Indiana,70836
88,Ohio,131193
87,Minnesota,61435
83,Michigan,118990
82,Mississippi,36323
77,Oklahoma,49240
75,Arkansas,39173
72,Wisconsin,79330
67,Pennsylvania,190192
67,Florida,284441
67,Alabama,71683
66,South Dakota,12486
64,Louisiana,71482
64,Colorado,79950
62,New York,313955
58,California,649861
56,Montana,17825
55,West Virginia,33734
53,North Dakota,12904
46,South Carolina,101722
44,Idaho,36022
39,Washington,175129
36,Oregon,107552
33,New Mexico,63098
29,Utah,97146
24,Maryland,242845
23,Wyoming,24703
21,New Jersey,420055
18,Alaska,40151
17,Nevada,160195
16,Maine,83012
15,Arizona,432167
14,Vermont,44745
14,Massachusetts,470538
10,New Hampshire,131819
8,Connecticut,447589
5,Rhode Island,210260
5,Hawaii,274962
3,Delaware,302378
1,District of Columbia,617996
